nominee,nr_wins,nr_nominations,oscar_index
Abigail Breslin,0.0,1,1
Adolph Caesar,0.0,1,1
Adolphe Menjou,0.0,1,1
Adriana Barraza,0.0,1,1
Adrien Brody,1.0,1,2
Agnes Moorehead,0.0,4,1
Akim Tamiroff,0.0,2,1
Al Pacino,1.0,8,2
Alan Alda,0.0,1,1
Alan Arkin,1.0,4,2
Alan Bates,0.0,1,1
Albert Basserman,0.0,1,1
Albert Brooks,0.0,1,1
Albert Finney,0.0,5,1
Alec Baldwin,0.0,1,1
Alec Guinness,1.0,4,2
Alexander Knox,0.0,1,1
Alfre Woodard,0.0,1,1
Alfred Lunt,0.0,1,1
Ali MacGraw,0.0,1,1
Alice Brady,1.0,2,2
Alicia Vikander,1.0,1,2
Aline MacMahon,0.0,1,1
Amy Adams,0.0,5,1
Amy Irving,0.0,1,1
Amy Madigan,0.0,1,1
Amy Ryan,0.0,1,1
Andrea Leeds,0.0,1,1
Andy Garcia,0.0,1,1
Angela Bassett,0.0,1,1
Angela Lansbury,0.0,3,1
Angelina Jolie,1.0,2,2
Anjelica Huston,1.0,3,2
Ann Blyth,0.0,1,1
Ann Harding,0.0,1,1
Ann Sothern,0.0,1,1
Ann-Margret,0.0,2,1
Anna Kendrick,0.0,1,1
Anna Magnani,1.0,2,2
Anna Paquin,1.0,1,2
Anne Archer,0.0,1,1
Anne Bancroft,1.0,5,2
Anne Baxter,1.0,2,2
Anne Hathaway,1.0,2,2
Anne Ramsey,0.0,1,1
Anne Revere,1.0,3,2
Anne Shirley,0.0,1,1
Annette Bening,0.0,4,1
Anouk Aimee,0.0,1,1
Anthony Franciosa,0.0,1,1
Anthony Hopkins,1.0,4,2
Anthony Perkins,0.0,1,1
Anthony Quayle,0.0,1,1
Anthony Quinn,2.0,4,3
Armin Mueller-Stahl,0.0,1,1
Art Carney,1.0,1,2
Arthur Hunnicutt,0.0,1,1
Arthur Kennedy,0.0,5,1
Arthur O'Connell,0.0,2,1
Audrey Hepburn,1.0,5,2
Ava Gardner,0.0,1,1
Barbara Barrie,0.0,1,1
Barbara Bel Geddes,0.0,1,1
Barbara Harris,0.0,1,1
Barbara Hershey,0.0,1,1
Barbara O'Neil,0.0,1,1
Barbara Stanwyck,0.0,4,1
Barbra Streisand,1.0,2,2
Barkhad Abdi,0.0,1,1
Barry Fitzgerald,1.0,2,2
Basil Rathbone,0.0,2,1
Beah Richards,0.0,1,1
Beatrice Straight,1.0,1,2
Ben Johnson,1.0,1,2
Ben Kingsley,1.0,4,2
Benedict Cumberbatch,0.0,1,1
Benicio Del Toro,1.0,2,2
Bessie Love,0.0,1,1
Betsy Blair,0.0,1,1
Bette Davis,2.0,11,3
Bette Midler,0.0,2,1
Betty Compson,0.0,1,1
Beulah Bondi,0.0,2,1
Bill Murray,0.0,1,1
Billie Burke,0.0,1,1
Billy Bob Thornton,0.0,2,1
Bing Crosby,1.0,3,2
Bob Hoskins,0.0,1,1
Bobby Darin,0.0,1,1
Bonita Granville,0.0,1,1
Brad Dourif,0.0,1,1
Brad Pitt,0.0,3,1
Bradley Cooper,0.0,3,1
Brandon De Wilde,0.0,1,1
Brenda Blethyn,0.0,2,1
Brenda Fricker,1.0,1,2
Brenda Vaccaro,0.0,1,1
Brian Aherne,0.0,1,1
Brian Donlevy,0.0,1,1
Brie Larson,1.0,1,2
Broderick Crawford,1.0,1,2
Bruce Davison,0.0,1,1
Bruce Dern,0.0,2,1
Bryan Cranston,0.0,1,1
Burgess Meredith,0.0,2,1
Burl Ives,1.0,1,2
Burt Lancaster,1.0,4,2
Burt Reynolds,0.0,1,1
Burt Young,0.0,1,1
