year_film,year,ceremony,award,nominee,film,winner
1943,1944,1,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katina Paxinou,For Whom The Bell Tolls,True
1943,1944,1,Best Performance by an Actor in a Supporting Role in any Motion Picture,Akim Tamiroff,For Whom The Bell Tolls,True
1943,1944,1,Actress In A Leading Role,Jennifer Jones,The Song Of Bernadette,True
1943,1944,1,Actor In A Leading Role,Paul Lukas,Watch On The Rhine,True
1944,1945,2,Best Performance by an Actress in a Supporting Role in any Motion Picture,Agnes Moorehead,Mrs. Parkington,True
1944,1945,2,Best Performance by an Actor in a Supporting Role in any Motion Picture,Barry Fitzgerald,Going My Way,True
1944,1945,2,Actress In A Leading Role,Ingrid Bergman,Gaslight,True
1944,1945,2,Actor In A Leading Role,Alexander Knox,Wilson,True
1945,1946,3,Best Performance by an Actress in a Supporting Role in any Motion Picture,Angela Lansbury,The Picture of Dorian Gray,True
1945,1946,3,Best Performance by an Actor in a Supporting Role in any Motion Picture,J. Carroll Naish,A Medal For Benny,True
1945,1946,3,Actress In A Leading Role,Ingrid Bergman,The Bells of St. Mary's,True
1945,1946,3,Actor In A Leading Role,Ray Milland,The Lost Weekend,True
1946,1947,4,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Baxter,The Razor's Edge,True
1946,1947,4,Best Performance by an Actor in a Supporting Role in any Motion Picture,Clifton Webb,The Razor's Edge,True
1946,1947,4,Actress In A Leading Role,Rosalind Russell,Sister Kenny,True
1946,1947,4,Actor In A Leading Role,Gregory Peck,The Yearling,True
1947,1948,5,Best Performance by an Actress in a Supporting Role in any Motion Picture,Celeste Holm,Gentleman's Agreement,True
1947,1948,5,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmund Gwenn,Miracle On 34th Street,True
1947,1948,5,New Star Of The Year - Actress,Lois Maxwell,That Hagen Girl,True
1947,1948,5,New Star Of The Year - Actor,Richard Widmark,Kiss Of Death,True
1947,1948,5,Actress In A Leading Role,Rosalind Russell,Mourning Becomes Electra,True
1947,1948,5,Actor In A Leading Role,Ronald Colman,A Double Life,True
1948,1949,6,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ellen Corby,I Remember Mama,True
1948,1949,6,Best Performance by an Actor in a Supporting Role in any Motion Picture,Walter Huston,The Treasure of the Sierra Madre,True
1948,1949,6,Actress In A Leading Role,Jane Wyman,Johnny Belinda,True
1948,1949,6,Actor In A Leading Role,Laurence Olivier,Hamlet (1948),True
1949,1950,7,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mercedes McCambridge,All The King's Men,True
1949,1950,7,Best Performance by an Actress in a Supporting Role in any Motion Picture,Miriam Hopkins,The Heiress,False
1949,1950,7,Best Performance by an Actor in a Supporting Role in any Motion Picture,James Whitmore,Battleground,True
1949,1950,7,Best Performance by an Actor in a Supporting Role in any Motion Picture,David Brian,Intruder In The Dust,False
1949,1950,7,New Star Of The Year - Actress,Mercedes McCambridge,All The King's Men,True
1949,1950,7,New Star Of The Year - Actress,Ruth Roman,Champion,False
1949,1950,7,New Star Of The Year - Actor,Richard Todd,The Hasty Heart,True
1949,1950,7,New Star Of The Year - Actor,Juano Hernandez,Intruder In The Dust,False
1949,1950,7,Actress In A Leading Role,Olivia de Havilland,The Heiress,True
1949,1950,7,Actress In A Leading Role,Deborah Kerr,"Edward, My Son",False
1949,1950,7,Actor In A Leading Role,Broderick Crawford,All The King's Men,True
1949,1950,7,Actor In A Leading Role,Richard Todd,The Hasty Heart,False
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Gloria Swanson,Sunset Boulevard,True
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Bette Davis,All About Eve,False
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Judy Holliday,Born Yesterday,False
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,José Ferrer,Cyrano de Bergerac (1950),True
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,Louis Calhern,The Magnificent Yankee,False
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,James Stewart,Harvey,False
1950,1951,8,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Fred Astaire,Three Little Words,True
1950,1951,8,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dan Dailey,When Willie Comes Marching Home,False
1950,1951,8,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Harold Lloyd,The Sin Of Harold Diddlebock,False
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Josephine Hull,Harvey,True
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Judy Holliday,Adam's Rib,False
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Thelma Ritter,All About Eve,False
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmund Gwenn,Mister 880,True
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,Erich von Stroheim,Sunset Boulevard,False
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Sanders,All About Eve,False
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Judy Holliday,Born Yesterday,True
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Spring Byington,Louisa,False
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Betty Hutton,Annie Get Your Gun,False
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Jane Wyman,The Blue Veil,True
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Vivien Leigh,A Streetcar Named Desire (1951),False
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Shelley Winters,A Place In The Sun,False
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Fredric March,Death of a Salesman (1951),True
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Kirk Douglas,Detective Story,False
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Arthur Kennedy,Bright Victory,False
1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,On The Riviera,True
1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bing Crosby,Here Comes The Groom,False
1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gene Kelly,An American In Paris,False
1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kim Hunter,A Streetcar Named Desire (1951),True
1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lee Grant,Detective Story,False
1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,Thelma Ritter,"Mating Season, The",False
1951,1952,9,Best Performance by an Actor in a Supporting Role in any Motion Picture,Peter Ustinov,Quo Vadis?,True
1951,1952,9,New Star Of The Year - Actress,Pier Angeli,Teresa,True
1951,1952,9,New Star Of The Year - Actor,Kevin McCarthy,Death of a Salesman (1951),True
1951,1952,9,Actress In A Leading Role - Musical Or Comedy,June Allyson,Too Young To Kiss,True
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Shirley Booth,"Come Back, Little Sheba",True
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Joan Crawford,Sudden Fear,False
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Olivia de Havilland,My Cousin Rachel,False
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Gary Cooper,High Noon,True
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Charles Boyer,The Happy Time,False
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Ray Milland,The Thief,False
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Donald O'Connor,Singin' in the Rain,True
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,Hans Christian Andersen,False
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Clifton Webb,Stars and Stripes Forever,False
1952,1953,10,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katy Jurado,High Noon,True
1952,1953,10,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mildred Dunnock,Viva Zapata!,False
1952,1953,10,Best Performance by an Actress in a Supporting Role in any Motion Picture,Gloria Grahame,"Bad and The Beautiful, The",False
1952,1953,10,Best Performance by an Actor in a Supporting Role in any Motion Picture,Millard Mitchell,My Six Convicts,True
1952,1953,10,Best Performance by an Actor in a Supporting Role in any Motion Picture,Kurt Kasznar,The Happy Time,False
1952,1953,10,Best Performance by an Actor in a Supporting Role in any Motion Picture,Gilbert Roland,"Bad and The Beautiful, The",False
1952,1953,10,New Star Of The Year - Actress,Colette Marchand,Moulin Rouge,True
1952,1953,10,New Star Of The Year - Actress,Rita Gam,The Thief,False
1952,1953,10,New Star Of The Year - Actress,Katy Jurado,High Noon,False
1952,1953,10,New Star Of The Year - Actor,Richard Burton,My Cousin Rachel,True
1952,1953,10,New Star Of The Year - Actor,Aldo Ray,Pat and Mike,False
1952,1953,10,New Star Of The Year - Actor,Robert Wagner,Stars and Stripes Forever,False
1952,1953,10,Actress In A Leading Role - Musical Or Comedy,Susan Hayward,With a Song in My Heart,True
1952,1953,10,Actress In A Leading Role - Musical Or Comedy,Katharine Hepburn,Pat and Mike,False
1952,1953,10,Actress In A Leading Role - Musical Or Comedy,Ginger Rogers,Monkey Business,False
1953,1954,11,Best Performance by an Actress in a Motion Picture - Drama,Audrey Hepburn,Roman Holiday,True
1953,1954,11,Best Performance by an Actor in a Motion Picture - Drama,Spencer Tracy,"Actress, The",True
1953,1954,11,Best Performance by an Actor in a Motion Picture - Musical or Comedy,David Niven,The Moon Is Blue,True
1953,1954,11,Best Performance by an Actress in a Supporting Role in any Motion Picture,Grace Kelly,Mogambo,True
1953,1954,11,Best Performance by an Actor in a Supporting Role in any Motion Picture,Frank Sinatra,From Here to Eternity,True
1953,1954,11,New Star Of The Year - Actress,Pat Crowley,Forever Female,True
1953,1954,11,New Star Of The Year - Actress,Pat Crowley,Money From Home,True
1953,1954,11,New Star Of The Year - Actress,Bella Darvi,"Egyptian, The",True
1953,1954,11,New Star Of The Year - Actress,Bella Darvi,Hell and High Water,True
1953,1954,11,New Star Of The Year - Actress,Barbara Rush,It Came From Outer Space,True
1953,1954,11,New Star Of The Year - Actress,Barbara Rush,Hell and High Water,False
1953,1954,11,New Star Of The Year - Actress,Bella Darvi,Money From Home,False
1953,1954,11,New Star Of The Year - Actor,Richard Egan,"Glory Brigade, The",True
1953,1954,11,New Star Of The Year - Actor,Richard Egan,"Kid From Left Field, The",True
1953,1954,11,New Star Of The Year - Actor,Steve Forrest,So Big,True
1953,1954,11,New Star Of The Year - Actor,Hugh O'Brian,"Man From The Alamo, The",True
1953,1954,11,New Star Of The Year - Actor,Steve Forrest,"Kid From Left Field, The",False
1953,1954,11,Actress In A Leading Role - Musical Or Comedy,Ethel Merman,Call Me Madam,True
1954,1955,12,Best Performance by an Actress in a Motion Picture - Drama,Grace Kelly,"Country Girl, The",True
1954,1955,12,Best Performance by an Actor in a Motion Picture - Drama,Marlon Brando,On the Waterfront,True
1954,1955,12,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Mason,"Star is Born, A (1954)",True
1954,1955,12,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jan Sterling,"High and The Mighty, The",True
1954,1955,12,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmond O'Brien,"Barefoot Contessa, The",True
1954,1955,12,New Star Of The Year - Actress,Shirley MacLaine,"Trouble With Harry, The",True
1954,1955,12,New Star Of The Year - Actress,Kim Novak,Phffft!,True
1954,1955,12,New Star Of The Year - Actress,Karen Sharpe,"High and The Mighty, The",True
1954,1955,12,New Star Of The Year - Actor,Joe Adams,Carmen Jones,True
1954,1955,12,New Star Of The Year - Actor,George Nader,Four Guns to the Border,True
1954,1955,12,New Star Of The Year - Actor,Jeff Richards,Seven Brides for Seven Brothers,True
1954,1955,12,Actress In A Leading Role - Musical Or Comedy,Judy Garland,"Star is Born, A (1954)",True
1955,1956,13,Best Performance by an Actress in a Motion Picture - Drama,Anna Magnani,"Rose Tattoo, The",True
1955,1956,13,Best Performance by an Actor in a Motion Picture - Drama,Ernest Borgnine,Marty,True
1955,1956,13,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Ewell,"Seven Year Itch, The",True
1955,1956,13,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marisa Pavan,"Rose Tattoo, The",True
1955,1956,13,Best Performance by an Actor in a Supporting Role in any Motion Picture,Arthur Kennedy,Trial,True
1955,1956,13,New Star Of The Year - Actress,Anita Ekberg,Blood Alley,True
1955,1956,13,New Star Of The Year - Actress,Victoria Shaw,"Eddy Duchin Story, The",True
1955,1956,13,New Star Of The Year - Actress,Dana Wynter,"View From Pompey's Head, The",True
1955,1956,13,New Star Of The Year - Actor,Ray Danton,I'll Cry Tomorrow,True
1955,1956,13,New Star Of The Year - Actor,Russ Tamblyn,Hit The Deck,True
1955,1956,13,Actress In A Leading Role - Musical Or Comedy,Jean Simmons,Guys and Dolls,True
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,Carroll Baker,Baby Doll,False
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,Ingrid Bergman,Anastasia (1956),False
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,Helen Hayes,Anastasia (1956),False
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,Audrey Hepburn,War and Peace,False
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,Katharine Hepburn,"Rainmaker, The",False
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,Kirk Douglas,Lust For Life,True
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,Gary Cooper,Friendly Persuasion,False
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,Charlton Heston,"Ten Commandments, The",False
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,Burt Lancaster,"Rainmaker, The",False
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,Karl Malden,Baby Doll,False
1956,1957,14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cantinflas,Around the World in 80 Days,True
1956,1957,14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Marlon Brando,"Teahouse of the August Moon, The",False
1956,1957,14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Yul Brynner,"King and I, The",False
1956,1957,14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Glenn Ford,"Teahouse of the August Moon, The",False
